Reference,Prediction
ويرحمني و إياكم في الدنيا و الآخرة,rhm w   dn wx
إشك أناهي الحكومة إلي باش تدخل لك في اصلاحات خطيرة,s n cm n bs xl f isl xtyr
وهو قاعد ستة شهر,wq ssm
إذن نحن بحاجة إلى مجلس تأسيسي إن ينجم ينظم كل هذا,in nn bhj i mjs tess nj mn bm  hv
الإدارة العامة للميترو طالبة خدامة و الإدارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,mdr lm mtrt arb xdm rdr lm zrm bsb  cncr  s
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الأسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,s jb i b b m rb sfn'swm tr li brs   ms njm  s
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا أحنا وياها يجيبوا مسؤولين بربي يفهمونا,f  w sb mnb v  tcn mn hd f xrj n  r  n w jb ms'ln brb f mnb
أقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,m ism xnxd jml mn btfn jml
معانا محرز بالتليفون مرحبا,mn mrz btlfn mrb
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للإقلاع التام على التدخين,jm n qrr hvy nj ws i m  d
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,sbn t f qw     nd ml wcp mn bin m m jml shm wnbd nbd  s qn bl
لكن سا فا الحمد الله معناتها آه,msbr hmd l m db
إ يا إلي تتكيفوا شوفوا الباكو شنوا إلي مكتوب عليه,l  cif sf lbak snn mcb li
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه أربعة و أربعين أعماركم معناها متقاربين برشا يحيى ثلاثة و أربعين,ssd wb i n d  n w     ma rc mn  md  rbn brs ii  b
عادل مرة أخرى نشكرك يعطيك الصحة,d m rxr nskr y sha
ينجم يركز كان بال بالدخان بالطبيعة إذا كان باش يستانس يعني باش يكون حياتو كاملة,mn jm r n  n  s mjr swr f m w b i n bssns n s  cn
باش نولي عبد آخر كانوا وحش باش يولي,mace n walli ihabed axer kan wahec bec wala
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت إلى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا أحسن طريقة باش,g j  swg f    s  bg
باش تلبي هاكي الرغبة فهمتني,bisle bik
آه سواء كان في بلادنا ولا حتى في العالم أجمع,s w cn f bldn w l ht f lhl jm
نقترحوه وننصحوا بيه العباد الكل مع العلم إلي راهو,nqtr ns b lhb  m llm lrw
فيس في إستهلاك هاكي السيقارو,fisefifishlikekel sigerwin
ال ها المنطق هذايا ما يعطيش أكلو مية في المية,lmntqdm tis kl mi flmi
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو,dr hsmmi win hw bifn lym f  sd
ثمة إدمان على مادة النيكوتين ثمة ناس إلي هوما,fm idmn  md nctn   m
وربما تنجم تكون هيا ال,ur uba ma a tenisem d kin hiya llel
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد أمورها الأمنية ما تعجبش,wlql  snm s mzni txl n ps d s  blid mr l'mni m tjbs
مرحبا أيه,ns l mbs  wsal hy
شيء يدوخ لهنا أيه مطلقين من نهارت إلي هزيتها لطبيب سا يا طلقتها قال لي ماهيش حبلى,r     wmn r   bb s  glm s hba
بحضوركم إنتم التحليل déjà خلصتو في سبيطار,zr n thl ja xls  s b
أيه كهو بعد إمم مدة ص صغيرة عرسنا,hik m bd m   sir rsna
أنا نغزر لربي موش نغزر ليك انت,an an uxzelrabb imanec nuxzellikent
إلي هو لونو بنفسجي,lihw lunu bn fsji
وذاك علاش اليوم جبت لكم هالمشرب,wvc lis  ymjb m hl msr
حداش وتسعة مية شوف لي ألفين,hdas u tami yasu birzin
مرحبا مرحبا مرحبا,wusbe
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي,mn nsb k n s m snd n nsb lk m ts nfs nt wd
معانا نزار شخ من تونس مك مرحبا,mn nzar mn tuns mrhb
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم,mn dicleg mfl m brs mn lym qn m tsks l hqulit
بيرو المعلم ما فيه حتى شيء لوحة و,br lmlm mfih ci lh
في هذا الكل الولي زادا يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هذا نرجعوا لو مرة اخرى في مواضيع اخرين,f hv  wl zd yp  bsr n z wd s        f r   nx f ws m x m whv nrj mr ox f mw
أغلبية معناها التلامذة ما رسمتش,glbid mn tlanzm rsmt
كون في ال رنتره السنة الدراسية تكون على الأقل,wn rn  sn rsi n  ql
إلا أنو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك أنا,n msf bd src ns wz m  n
بالسلامة,bslama
أربعطاش,rb
عايش في الخيال,icf xil
عنب,a n ebb
عنصري,onsuri
عطريا,a treja
ثناش,snas
خشم,s
خاتم,chatem
حقة,hq
حلوف خبيث,halouf rbif
حوات,haw it
حزار,hazar
حبلى حامل,hbl hml
قريات,qargag
قاضي,ravi
بلاروسيا,bielarusia
إسبانيا,espania
الصومال,su mal
الهند,gg g g g gi l g igng d lg g g g g g
نمسا,nemse
أكرانيا,ukrainia
سويسرا,suisra
يا ممو عينيا,yamm ainya
أصلي,asli
عالسلامة يسلمك,hslm slmk
بالفرحة,blfrha
بابا,baba
بنفسجي,bannef s'agit
بيلت,beg elt
بشع خايب يعيف,bs xib iyf
بقر,bgar
بيرو,biro
بليد,bled
بوفي,a beuffet  ge
بوسا,busa
شفما جديد,je faim a je dite
شكون,skun
شنوا آش,schnoa es
شنوا هذا,snaw a reda
دبوزة,da bouza
dictionnaire,dictionnaire
ديون,diun
العشية,lashaie
نعزك برشا,nazc brsa
فديت ملا فدا,fa dit ma la fada
فمة ثمة,famma samma
فروج,frrg
فكرة,fekre
فرشتا فراشة,ferkita freshet
غاز,gaz
غراب,gagaga lle lgan ga ge ga aga gag g
حاد,had
حر,hor
هوما,huma
جلسة,j'alle sa
جرح,g g g g g g eg regg g g g
جواب,jweb
كراتي,gera de
كبير,kebir
كينو,kayenno
خزانة,chsiana
كرهبة كراهب,karhba grahab
محل تجارى تجارى,mhl jr tjara
مقفول و كسكاس,ml ks qs
مرحبا,mar b
متواضع,me doada
ميتين,mithin
ممتاز,montes
موسيقى موزيكا,musika musika
نعرسو,neh arrsu
ناشط خفيف رشيق,nashet fif rashiq
نمل,ne mela
نهارك زين,nharekzin
نمر,numr
أوتوروت,otrt
بابايا,papala
قبل,qbl
رغم انو,rrm an
رقبة,reqba
رياضه,riada
rouge,rouge
صعيب,saib
سامحني دزولي,sa marnit desolae
صبع صوابع,s ba soe ba
صفر,svur
صغير,sigir
سياده,siede
سلاطة,slata
سميد,smeedh
سكر,sapkar
صندوق إدخار,son douc est dihar
سباغيتي,spageti
سوايع,a sou va yan
طبلا,tabla
تنين,de n i le n ll l
تسعميه,tesan amier
طفل,tfoll
ثلج,sel ler
ثلاثة,flefer
تمر,tmer
أيه,ai
فرنسوية,fransa wiya
خمسة,xamt
حداش,rdeas
واحد و عشرين,wd srin
خمسين,xamtiyin
ترد بالك,trod belek
واحد و عشرين ألف,whd   lf
واحد و ثلاثين ألف,wd  f
وزير أول,ozir owl
ولد,wil d
و انت,wen ti
يتعاود ديما,ieta o dima
زعما زعما,zama zama
زرزومية,rm
كان إبراهيم راجل صالح و يعرف ربي و كان زادا راجل غني برشا نهار من نهارات شاف إبراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا إبراهيم أنا باش نحميك,kn ibrhm rjl sl wirf rb wkn zd rjl ni brs nr mn hr saf brhm nm z f rb bsql md xfs brm n shm
وآجرك كبير عندي وقتها جاوب إبراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و أنا ماشي من ها الدنية هذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو إلي باش يورثني,wj   w j  brm b q y rb kf sps jzn win ms mnh dn hv t wlid m n ds bsrt mn bd mmt xdm w b
يخي جاوبو ربي و قالوا موش خديمك إلي باش يورثك أما ولدك إلي باش يجي منك هو إلي باش يورثك و صدق إبراهيم كلام ربي و آمن بيه,yx jb b ql ms xdim lbsr am wldc lbs ji mn hw lbsr wsd brhim klm b m b
نهار من نهارات خزرت سارة مرة إبراهيم لراجلها و قتلو أنا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها,nhar men harat xazret sarrra maret ibrahim lrajalha uqatlew an a tawa ma nebnic halac ma taxed cexdin t ihijer fammac ma rebbi yirzeqena bulayid menha
و عمل إبراهيم كيف ما قالتلو مرتو سارة و خذا هاجر,wml ibrhim kf m qdl mrt sr xv hjr
و حبلت هاجر أما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي إلي خلى سارة تخزر لإبراهيم راجلها و تقلو,wbl hjr m m bd m  wl b  ll sr sixl sr txzr ibrhim rjl wdl
إبراهيم هذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت أنا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية,brhim hv kfu y mak mn bad mxbit lxdin wkyf ma hblt n llyt h shrd f inih wltzr lmhqrnya
ربي هو إلي يفصلها ما بيناتنا يا إبراهيم ياخي جاوبها إبراهيم وقتها و قلها هاني خديمتك قدامك أعمل فيها إلي تحب عليه,w fs mbn   bm yx jwb brm w ql hn xdm qm ml f b
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها,wqt  sr   hjr ln xrj jr whrb mn wqd ms   l zr l l mn n b wmr bsj  l sr wtsm klm
و زادا وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي إلي باش تولد وليد و تسميه إسماعيل و معناها ربي يسمع,zd wd rb hjr bscf wd lm d  d wl rb lbs dli sm sm mn rb ysm
على خاطر ربي سمع صوتها وقت إلي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت إلي ولدت ولدها سماتو إسماعيل,lxt rb smst wqt tn wz whml hjr kyf mql rb wqt lwld wld sm smi
و كان وقتها وقت إلي ولدت كان عمر إبراهيم ستا و ثمانين سنة,waqt liweldet kan hmer ibrahim s  mesna
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لأرض الموعد إلي وعدهم بيها,xj rb sb mt mn 'rb by ms wkf xrj m msr q'd m rb f shr sj 'rz mwd  d b
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم,f tn m tm ml rb bs mjz  r bs wkm crbm wymm
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هذا هو إلي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي,srn bd m xrj  msr nsb xim mth b jbl jbl hv hw tl  ms bs xm n rb cr yn ysi rb
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري,mn bn si m tsn ilh mtd m zjs r
و موسى أعلن للشعب الكل كلام ربي هذا و الشعب جاوب موسى باللي راهم باش يعملو إلي قال عليه ربي الكل و باش يتبعوه في كلامو,ms l  cb kl klm rb hv wlsb jw ms bn r sm ql  rb kl bs b  km
وكي طلع موسى فوق الجبل باش يكلم ربي قعد أربعين يوم و أربعين ليلة,wkd l ms fq sbl skl rb qd rb m  la
هاو كيف الشعب إستبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا,hw kf c stbt ms ms qd brs mrjs msv zmr lhrn ql jwin ms sb mrjs tw
أصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل,aznerilina eyl hebist quhudne weqt ep herun emer himbisi ji bo li bilala trsiye emdey hum il kil
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هذا هو إلاهكم إلي حرركم و خرجكم من مصر و من عبودية المصريين,wlm hrn s l sn b jl  b wql m hl jl vb hv hw ilykm vl hrrm xrjm msr mn bdy lmsrn
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو,wmn jdw qd ml b m tih hd sjdl wmn bd mklv srb ml f xl m wl fs m b
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي إلي عملو الشعب متاعو و كيفاش عبدو إلاه غيرو و قال ربي لموسى إلي باش يهلكهم الكل على إعمالهم,wf hk wqt s rb brs wql ms  si  m sb mt wk   y wql b ms l bsm  'm
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد إلي وعده لإبراهيم و إسحاق و يعقوب باش يكثرهم كيف نجوم السماء,kn ms wq tlb m rb crhm wvk rb f wd wd ibrm sq qb bs cm kf jm
و إلي باش يعطيهم الأرض إلي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش,wlbsm l'rb dm by xr dn m bd rb hn ym mhlkm s
و كيف هبط موسى و شاف الشي إلي يعملو فيه الشعب تغشش برشا و رمى الألواح متاع الشريعة إلي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت,wkf b ms sf si ml f sb s bs wrml w m  sr lcn mn qs y lwsi s  tb ix s
لكن مرة أخرى طلع موسى و خذا الألواح متاع الشريعة من عند ربي و زادا لم موسى الشعب الكل و علنلهم على إلي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة,kn mr xr l ms wxb w   n b wz m ms cb  wln   mctb  w    wsi b mb
قالهم ربي ألاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادا عادل و يعاقب المذنب,qalhm rbbi ilah rau frahim ma itxaccas c fisa wa yaxfer lmaran siw dnub kif tnastarefu biha lakin zayda hwa radel wa iraqeb lmudneb
و ربي زادا قال طيعوني و ما تعبدوش آلهة أخرى غيري,wrb sd ql jni m tbs   oxr r
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمى وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبأ على موته وقت إلي كان ما زال مع التلامذة,bd m qwm ys  zr ms qz n f wq ns  s s   db f   bt b  mt wq cn mzl m m
و فمى نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمى واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت,fmn hr m ikl m bm xbrm ys bfm w mn bn m  bsxn s mt
وقتها يسوع كان يقصد في واحد إسمه يهوذا إلي عطى للناس إلي باش يشدو يسوع امارة و هيا الشخس إلي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع,w ys n ysd f w m yv l tl n b jd s mr hy sx bs sm  bs w msd
وقت إلي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ إلي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه,wt kn s ykm   j  m jm mn nd cx  b sd  f sm yv  s qd mjm sd h n sx n bs
وقتها لوجولو على شهادة زور تخليهم يقتلوه أما ما لقاوش من بعد سأل شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع إي نعم كيما قلت,w lwjr  s zr dxlm y mm qws mn d s' sx n ys q in hw ms wb jwb  n m m
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو أنه قاعد يشرك بإلله و زيد على هذا كانت الناس تصيح و تعيط يستاهل الموت أقتلوه,mj b m ys  xt r n d sk b zd  v kn n   s m
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه,kn sk mnn ytb f ys ybz
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على إلي قالوا المجلس وقت إلي قالوا يموت يسوع,w bs m i cm x kn w m kn smf l ql mj w ql mt y
أما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي أنا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه أما دمه في رقابيكم راني مانيش مسؤول على قتلانو,m  tr sb x b b s mt qlm w n xtn wn  bn dm c   m dm f r
و تعذب يسوع برشا قبل ما يهزوه للبلاصة إلي باش يتصلب فيها,wtb ys brsqb m z bs lbs sb f
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك,b  b m z  j     n n msr i  n n ms mj m
الغريب في الحكاية حتى قطعية واحد منهم زادا كان يتمسخر و يقولو في نفس الكلام أما المجرم الآخر خزر للأول و قال حتى انت باش تتصلب كيفو,rb  ky t qt w mnm zd n msr wl f nf km m  mjrm xr xzr  w q t n b
تتمقعر عليه انت على الأقل تستحق الموت أما هو مسكين ما عمل حتى شيء,tmqr i n l ql  sq mt m hw mskn m ml si
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت إلي مات يسوع تزلزلت الدنية و ظلامت بالرغم إلي وقتها كانت قايلة,w m   m  n mn f jn w   w  w m     m w  '
في الشهر,isar
قررت باش نتوقف عالدراسة d'accord خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي,rs  i k mdl cn b mnjm  gncm
ولا produit إلي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال marché تجرب فيه بالظبط أما الفكرة هو أنو كيفاش تكبر كيفاش تمشي لدول أخرى كيفاش تنجم تعمل ال growth بالظبط exactement كيفاش تنجم تكبر,i g g   mn gm g gn s bg lwm ln p b mrs brb g m fr w n       wl
بالنسبة للناس لي عندهم أفكار par exemple اليوم,binnizba li niz li and um afkar par egzamplu il jum
فمة طريقة تفكير و طريقة تعامل مع ال produit مع ال solution مع المشروع بصفة عامة,fm q fkr t ml m lprdw m sn m m  m
مركز المسيرين الشبان bien أحنا نلمو المسيرين الشبان لي عندهم أقل من خمسة و أربعين سنة,n lm  msyrn sbn  ndm ql xsr bn n
إلي يخلينا أحنا,lxln hn
فمة apprentissage في العقلية لاهي يتم جديد و و هاني جايك أنا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون carrément معناها لهنا نحكيو على قانون متاع بلاد,m    w ha nijai an m hr lf  xtr k mqa l abrhm trk mhm sr li sla qnn m tbdls n tum xdm l tir qnn rmm hnn  qnn bd
avec une autre machine avec un serveur avec des détecteurs en fait تولي ligne de production intelligente w elle communique بينها و بين بعضها,avec une autre machine avec un serveur avec des detecteurs avec on fait toile les lignees de production intelligentes u communiquen
الشي هذايا يصير à travers la signature électronique donc حنا en fait وقتلي جينا حبينا نحلو المشكلة المشكل financier هذايا لي هو كيفاش نخلي لعباد,si  sr rv sntur elctrnic dn hn n ft w gn bn nhl msl lmskl fnns nl hw fs xl lbd
لكن réellement الفسفة متاعنا من اللول كانت إلي راهو أول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادا est ce que فماش une interprétation للنص القانوني,lkn i m flz fmtn mlw gl kn lr wl j nsf nsf qns  ysmh nsf zd scf ms n nx xtsn ns qnn
et pour commencer à s'installer la don durant neuf mois et ils vont être accompagnés sur les volés كيما قلنا le volé technologique le volet entrepreneurial et création juridique et cetera et le volé pratiquement financier pour que,et pour commencer s'installer la dedans durant neuf mois t ils vont tre accompagns sur les volets quima le volet technologique le volet entrepreneuriat  les crations juridiques etc et le volet pratiquement financierau
et donc voilà donc بدات غاديكا و من بعد طورنا بالشوية بالشوية et on a décidé de postuler فال ost pre incubateur فمة برشا مابين les parents إلي يقول لولدو لا كملي قرايتك خوذ ديبلومك و بعد برا مشرع على روحك و أعمل مشاريعك بالنسبة,b radiqa  b twrn bs bsia  na dsidi dpswl  llisi prianba vm brs mbin lparan li ql lwl dla cm lqri g i pl m n bgd br msr bli rgq  rm msarg
علاش علاش طال الإنتظار على خاطر c'est de gros projet,rlic tal lintibar rala xatar sidugru proje
علموهم و الديهم التجارة,re lmumul d ihem car
و كيما كان يتعامل مع المنجي و السفر,kim kant ml m mnj wsfr
قالولهم لكلنا ليها و هذا أمر ربي و سنة الحياة,qalw lhm lklna liha wihaba amr rbi usn t lhayt
قالوا يا محمود,ql  y mhm
يركركو في التاي ولا على بالو,irak rek fettay war rlabalu
تبسم محمود و قالوا عندك أفكار هايلة يا وحيد,itbasn mahmud uqal uwa aandak afkar helay w hayt
و من لا عنده فضة فعنه الناس منفضة,mn l nd fb fn ns
و في وسط البيت فمة كرسي,fi wst b fm crs
و بعد ما سترجعت كل شيء,ubad ma srjat kolcej
و يرا في كي العظروت قدام الباب,wiraf ikel lrebru tqeddem lba
قلتلها يامي زايد أنا قررت و مرة باش نخلق,qur tala yamii zayt aina qarrart min ha bac nexleq
يعني ميسورة الحال,yni maysuret lha
و أنا هزتني السرحة و البهتة و مانيش مصدقة ولا مستوعبة الشي لي قاعدة تحكي فيه ها المراء,wn  sr wbt      sw si qd n f lmr
المراء من القيتهاش لا في الأرض لا في السماء,lmr m qs  f 'r f s
وقتاش خرجت,w discarsi wt
إسمي مهدي,smi mad
ما فماش عركة ما كنتش موجود فيها,ma fami s harka ma kuntec mawjud fiha
يعملو فالحس و يقلدو في أصوات و يضحكو و يفدلكو,yml f hs qld f swt yb  f
قلتلهم أنا,qtlh mna
فمة حاجة لولاد أي كيفاه ما نعملوا شيء ما نريفزوش ما نتحركوش,q nm si rz mr
كي تبدى حاجة surtout تحبها فمة بروفات راك تتعب تعمل effort لين تفد,kbd s j bm prft rg pb tml ifr tml frln fd
عملت فيه إلي تتخيلو رحلات عملنا و مشينا للجنوب,ml f   i rh m xn jnb
و نظمنا مهراجانات و نظمنا des exposés متاع photographie,nbmn mr jnt wnbbn dsxpsm ftgrf
قتلو باهي نمشيوا أكاهو مشينا لتونس نحوسوا مشينا للمرسى درنا,g g gaq  bgin alns an aws  ggin marsa drna
